sexe,age,distance_parcourus,nombre_heure_retard,travail,premiere_fois,nb_heure_travail_semaine,Tutorat,nationalite,vehicule,vis_seul,etat_matrimonial,heure_moyenne_sommeil,Nom_cours,classe
M,19,33,6,non,oui,34,non,Afrique,oui,non,celibataire,7,Reseaux informatiques,cours echoue
M,33,89,1,oui,oui,34,oui,Europe,oui,non,en couple,5,Robotique,cours reussit
F,18,98,5,non,non,4,oui,Europe,oui,oui,en couple,10,Structure de base de donnees,cours reussit
M,36,86,7,oui,oui,49,non,Asie,oui,non,celibataire,10,Big Data Analytics,cours reussit
F,27,33,5,oui,oui,34,oui,Asie,non,non,celibataire,6,Francais 1,cours reussit
F,23,84,1,oui,non,56,oui,Europe,non,non,celibataire,5,Francais 1,cours reussit
F,39,2,4,oui,non,49,non,Asie,oui,oui,celibataire,4,Application mobile 1,cours echoue
M,32,55,6,non,oui,39,oui,Europe,non,oui,en couple,6,Application mobile 2,cours echoue
M,31,73,3,oui,non,19,non,Europe,oui,non,celibataire,7,Mathematiques discretes,cours echoue
M,24,83,6,non,non,60,oui,Amerique,oui,non,celibataire,4,Structure de base de donnees,cours reussit
F,33,49,6,non,oui,57,oui,Europe,oui,oui,celibataire,4,Genie logiciel,cours echoue
M,27,14,9,oui,non,52,non,Amerique,non,oui,celibataire,8,Application mobile 1,cours reussit
F,29,58,5,oui,oui,33,non,Asie,oui,non,en couple,6,Application mobile 2,cours reussit
F,24,50,7,non,oui,13,oui,Oceanie,oui,non,celibataire,4,Conception de bases de donnees,cours reussit
M,29,65,9,non,non,43,non,Asie,non,non,en couple,4,Langages de programmation avances,cours reussit
M,33,77,10,oui,non,17,non,Afrique,oui,oui,celibataire,9,Application mobile 1,cours echoue
M,21,22,1,oui,non,38,non,Afrique,oui,non,en couple,6,Peripheriques et objets connectes,cours reussit
F,19,96,5,oui,non,7,oui,Asie,non,oui,celibataire,5,Traitement du langage naturel,cours reussit
F,34,3,9,non,non,3,oui,Europe,non,non,celibataire,10,Francais 1,cours reussit
M,39,55,9,non,non,45,oui,Europe,oui,oui,celibataire,9,Big Data Analytics,cours echoue
F,36,31,5,non,oui,49,oui,Amerique,non,non,celibataire,8,Systemes d'exploitation,cours echoue
M,35,20,6,non,non,20,oui,Europe,oui,non,celibataire,6,Philosophie 2,cours reussit
F,23,65,1,non,non,38,oui,Amerique,oui,non,celibataire,4,Programmation orientee objet,cours reussit
M,29,79,9,non,oui,18,non,Oceanie,oui,oui,en couple,6,Espagnol,cours echoue
M,29,92,5,oui,non,13,oui,Afrique,non,oui,en couple,6,Algorithmes avances,cours echoue
M,34,49,2,oui,oui,53,oui,Amerique,oui,non,en couple,7,Espagnol,cours reussit
M,21,18,2,non,non,26,non,Oceanie,non,oui,celibataire,7,Anglais,cours reussit
M,24,100,9,oui,non,32,oui,Asie,oui,oui,celibataire,9,Francais 1,cours reussit
M,33,76,2,non,oui,1,non,Asie,non,non,en couple,9,Francais 3,cours reussit
M,21,3,2,non,non,47,oui,Amerique,oui,non,en couple,6,Structure de base de donnees,cours reussit
F,21,49,4,oui,oui,56,non,Afrique,non,oui,en couple,10,Big Data Analytics,cours reussit
F,21,59,7,non,oui,23,non,Asie,oui,oui,en couple,8,Espagnol,cours reussit
M,37,43,10,non,oui,42,oui,Europe,oui,non,celibataire,7,Systemes d'exploitation,cours echoue
F,32,1,7,oui,non,17,non,Oceanie,oui,non,en couple,7,Peripheriques et objets connectes,cours echoue
M,19,36,7,oui,oui,42,non,Europe,oui,oui,celibataire,6,Philosophie 2,cours reussit
M,37,40,1,non,oui,10,non,Amerique,oui,oui,en couple,9,Programmation orientee objet,cours echoue
F,39,47,9,oui,oui,59,non,Europe,non,oui,celibataire,9,Traitement du langage naturel,cours reussit
F,26,90,1,oui,oui,15,non,Europe,oui,non,celibataire,10,Traitement du langage naturel,cours reussit
F,21,56,4,oui,non,42,non,Asie,non,oui,celibataire,4,Anglais,cours reussit
F,19,57,3,non,oui,31,oui,Oceanie,non,non,en couple,6,Peripheriques et objets connectes,cours echoue
F,28,42,7,oui,oui,3,non,Afrique,non,oui,celibataire,10,Machine Learning,cours reussit
M,40,53,1,oui,non,1,non,Oceanie,oui,oui,en couple,8,Intelligence artificielle ethique,cours reussit
M,24,22,0,oui,oui,33,non,Europe,oui,oui,celibataire,8,Reseaux informatiques,cours reussit
M,39,15,0,oui,oui,2,oui,Asie,non,oui,en couple,10,Fracais 2,cours echoue
M,34,61,7,non,oui,44,oui,Amerique,non,non,celibataire,9,Intelligence artificielle ethique,cours reussit
M,36,64,0,non,oui,24,non,Oceanie,non,non,celibataire,6,Big Data Analytics,cours echoue
F,38,49,10,oui,non,58,oui,Asie,non,non,celibataire,8,Philosophie 2,cours echoue
M,30,93,7,non,oui,12,oui,Amerique,oui,non,en couple,4,Philosophie 2,cours reussit
M,30,42,10,oui,non,40,non,Oceanie,oui,non,en couple,4,Big Data Analytics,cours echoue
M,39,8,8,non,non,9,oui,Amerique,oui,non,en couple,6,Philosophie 1,cours echoue
F,40,49,10,non,non,53,non,Amerique,oui,oui,celibataire,4,Structure de base de donnees,cours reussit
F,21,37,1,oui,non,2,oui,Amerique,oui,oui,celibataire,10,Conception de bases de donnees,cours reussit
F,26,67,6,non,non,52,oui,Amerique,oui,non,celibataire,6,Langages de programmation avances,cours reussit
F,31,55,1,non,non,32,non,Amerique,oui,non,celibataire,10,Traitement du langage naturel,cours echoue
F,24,53,7,non,non,25,oui,Oceanie,oui,non,en couple,7,Intelligence artificielle ethique,cours reussit
F,38,34,8,oui,non,33,oui,Afrique,oui,non,en couple,9,Conception de bases de donnees,cours echoue
F,34,75,1,oui,non,25,oui,Afrique,non,oui,en couple,5,Intelligence artificielle ethique,cours echoue
M,21,2,8,non,non,43,oui,Oceanie,oui,oui,en couple,9,Fracais 2,cours echoue
F,29,56,0,non,non,27,oui,Amerique,oui,non,celibataire,7,Espagnol,cours echoue
M,20,66,5,non,oui,40,oui,Afrique,oui,oui,celibataire,8,Espagnol,cours reussit
M,24,52,0,non,oui,36,oui,Europe,oui,oui,en couple,6,Developpement web avance,cours reussit
M,33,69,4,oui,oui,43,non,Amerique,non,oui,celibataire,10,Application mobile 2,cours reussit
M,39,16,4,non,oui,48,non,Asie,non,non,en couple,10,Peripheriques et objets connectes,cours echoue
F,29,35,3,oui,oui,54,non,Amerique,oui,oui,celibataire,6,Algorithmes avances,cours reussit
F,39,30,1,oui,non,2,oui,Oceanie,non,non,celibataire,6,Securite informatique,cours echoue
M,21,82,5,non,non,10,oui,Oceanie,oui,oui,en couple,5,Robotique,cours reussit
F,26,45,7,non,oui,57,non,Oceanie,non,non,en couple,7,Langages de programmation avances,cours reussit
F,22,97,8,oui,non,15,oui,Afrique,non,oui,en couple,9,Application mobile 2,cours echoue
M,23,4,8,oui,non,33,non,Oceanie,oui,non,en couple,8,Application mobile 1,cours echoue
M,30,72,7,non,oui,9,non,Amerique,oui,non,en couple,7,Algorithmes avances,cours echoue
F,31,80,9,non,oui,12,oui,Asie,non,non,en couple,7,Systemes d'exploitation,cours echoue
M,26,4,5,oui,non,37,non,Oceanie,oui,non,en couple,9,Mathematiques discretes,cours reussit
F,23,6,0,oui,non,47,non,Asie,oui,oui,celibataire,10,Machine Learning,cours echoue
F,20,40,4,oui,non,54,oui,Afrique,oui,oui,celibataire,4,Peripheriques et objets connectes,cours echoue
M,19,52,3,oui,oui,52,non,Afrique,oui,oui,en couple,10,Francais 3,cours echoue
M,19,30,9,non,oui,46,oui,Afrique,oui,oui,celibataire,6,Francais 1,cours reussit
F,25,85,6,oui,non,27,non,Europe,oui,non,en couple,6,Securite informatique,cours echoue
M,22,14,6,oui,oui,29,non,Europe,non,non,en couple,7,Application mobile 1,cours echoue
F,29,43,5,non,oui,4,non,Europe,non,oui,en couple,10,Algorithmes avances,cours echoue
M,29,56,0,non,non,49,non,Afrique,non,oui,en couple,8,Philosophie 2,cours reussit
F,34,67,10,oui,oui,44,non,Amerique,oui,non,en couple,10,Francais 1,cours reussit
F,39,4,6,oui,non,44,oui,Afrique,non,oui,celibataire,4,Systemes d'exploitation,cours reussit
M,39,82,8,non,oui,35,oui,Amerique,non,oui,en couple,9,Algorithmes avances,cours echoue
F,35,11,7,non,oui,33,oui,Amerique,non,non,en couple,10,Programmation orientee objet,cours echoue
M,33,25,9,non,oui,45,oui,Afrique,oui,non,en couple,5,Genie logiciel,cours reussit
F,18,94,6,oui,oui,18,non,Oceanie,oui,oui,en couple,6,Structure de base de donnees,cours reussit
F,40,6,8,oui,oui,11,oui,Europe,non,non,en couple,8,Espagnol,cours reussit
M,32,36,1,oui,non,32,oui,Amerique,non,non,en couple,10,Conception de bases de donnees,cours reussit
M,37,50,1,oui,oui,4,oui,Europe,non,non,celibataire,9,Philosophie 3,cours echoue
F,31,68,6,non,oui,35,non,Amerique,oui,oui,celibataire,7,Genie logiciel,cours reussit
M,38,39,4,non,non,8,non,Afrique,oui,oui,en couple,6,Big Data Analytics,cours echoue
M,40,95,3,oui,non,5,oui,Amerique,non,non,en couple,7,Structure de base de donnees,cours reussit
F,28,72,8,oui,oui,22,non,Afrique,oui,non,celibataire,4,Application mobile 2,cours reussit
F,21,24,8,non,oui,3,non,Amerique,non,oui,celibataire,9,Developpement web avance,cours echoue
F,19,65,6,non,non,31,non,Afrique,oui,non,celibataire,6,Mathematiques discretes,cours echoue
M,29,39,4,oui,non,48,oui,Oceanie,oui,oui,celibataire,5,Mathematiques discretes,cours reussit
M,21,96,9,non,non,15,non,Asie,non,oui,celibataire,6,Conception de bases de donnees,cours reussit
M,20,94,0,oui,non,9,non,Asie,oui,non,celibataire,7,Peripheriques et objets connectes,cours echoue
F,36,75,1,non,oui,1,oui,Europe,oui,oui,en couple,10,Mathematiques discretes,cours reussit
M,36,58,10,non,oui,25,non,Asie,oui,oui,en couple,6,Programmation orientee objet,cours echoue
M,34,9,5,non,oui,54,non,Afrique,oui,non,en couple,9,Intelligence artificielle 2,cours reussit
M,37,93,8,oui,non,58,non,Oceanie,non,oui,celibataire,9,Philosophie 3,cours echoue
M,38,74,3,non,oui,29,non,Oceanie,oui,oui,en couple,9,Genie logiciel,cours reussit
F,32,97,10,oui,oui,10,non,Oceanie,oui,oui,en couple,5,Fracais 2,cours reussit
F,39,18,5,oui,non,36,non,Afrique,oui,oui,celibataire,6,Langages de programmation avances,cours reussit
M,29,38,4,non,oui,53,oui,Afrique,non,non,en couple,10,Francais 3,cours reussit
F,35,1,2,non,non,36,oui,Europe,oui,oui,en couple,5,Fracais 2,cours echoue
F,27,1,3,non,oui,21,non,Asie,oui,non,celibataire,8,Reseaux informatiques,cours reussit
M,35,8,3,non,oui,35,non,Oceanie,oui,oui,celibataire,7,Traitement du langage naturel,cours echoue
F,30,91,4,oui,oui,12,non,Amerique,non,non,en couple,8,Big Data Analytics,cours echoue
M,27,76,7,oui,non,52,non,Europe,non,non,en couple,8,Big Data Analytics,cours reussit
M,32,12,9,oui,non,34,non,Amerique,oui,oui,en couple,5,Conception de bases de donnees,cours reussit
M,34,76,6,non,oui,18,non,Amerique,oui,non,celibataire,8,Mathematiques discretes,cours echoue
F,32,43,7,oui,oui,38,non,Oceanie,oui,oui,en couple,4,Developpement web avance,cours reussit
M,23,41,8,oui,oui,4,non,Oceanie,non,oui,celibataire,6,Systemes d'exploitation,cours reussit
F,35,46,2,oui,oui,56,non,Europe,non,non,en couple,6,Francais 3,cours echoue
M,19,48,0,non,oui,30,non,Afrique,oui,non,celibataire,9,Anglais,cours reussit
F,31,46,6,oui,oui,11,non,Asie,oui,oui,celibataire,4,Securite informatique,cours reussit
M,27,65,9,non,non,8,oui,Afrique,oui,non,en couple,9,Philosophie 1,cours reussit
M,39,89,7,non,non,13,non,Europe,non,non,celibataire,7,Programmation orientee objet,cours echoue
F,28,5,1,non,oui,48,non,Oceanie,non,non,celibataire,9,Peripheriques et objets connectes,cours reussit
M,18,76,6,oui,non,6,oui,Asie,oui,non,celibataire,6,Francais 1,cours reussit
M,33,58,0,oui,non,35,oui,Oceanie,oui,oui,en couple,8,Securite informatique,cours echoue
M,24,12,3,oui,oui,8,non,Asie,non,non,en couple,10,Anglais,cours reussit
M,40,56,6,oui,non,52,oui,Europe,oui,oui,en couple,4,Intelligence artificielle ethique,cours echoue
M,31,25,4,oui,oui,52,non,Amerique,oui,non,celibataire,7,Machine Learning,cours echoue
F,23,38,8,non,non,37,oui,Amerique,non,oui,celibataire,7,Reseaux informatiques,cours echoue
M,23,68,3,non,oui,35,oui,Oceanie,non,oui,en couple,4,Anglais,cours reussit
M,24,81,2,non,non,43,oui,Oceanie,oui,non,en couple,5,Anglais,cours reussit
F,23,79,8,oui,oui,17,oui,Afrique,non,oui,en couple,8,Application mobile 1,cours reussit
M,24,42,10,oui,oui,22,oui,Afrique,non,non,en couple,4,Fracais 2,cours echoue
F,30,74,0,non,non,32,non,Afrique,oui,oui,en couple,9,Philosophie 1,cours echoue
F,18,56,7,non,non,33,oui,Amerique,oui,non,celibataire,9,Big Data Analytics,cours echoue
M,23,16,8,non,oui,21,non,Oceanie,non,oui,celibataire,7,Securite informatique,cours echoue
M,22,24,2,non,oui,50,non,Europe,non,oui,en couple,6,Systemes d'exploitation,cours echoue
F,19,67,9,non,oui,23,non,Europe,oui,non,en couple,4,Fracais 2,cours reussit
M,18,47,3,non,non,6,non,Amerique,non,oui,celibataire,10,Reseaux informatiques,cours echoue
M,32,4,0,non,oui,6,oui,Afrique,non,oui,celibataire,6,Fracais 2,cours reussit
M,31,51,4,non,oui,54,non,Asie,oui,oui,en couple,4,Peripheriques et objets connectes,cours echoue
M,20,76,0,oui,non,48,non,Amerique,non,non,celibataire,9,Securite informatique,cours echoue
M,20,63,0,non,non,46,oui,Europe,non,non,en couple,6,Intelligence artificielle ethique,cours echoue
F,24,9,3,oui,oui,53,non,Europe,non,oui,celibataire,10,Philosophie 2,cours echoue
F,23,73,8,non,non,11,non,Afrique,non,non,en couple,10,Systemes d'exploitation,cours reussit
M,25,37,5,non,oui,44,oui,Oceanie,oui,non,en couple,9,Structure de base de donnees,cours echoue
F,19,81,2,oui,oui,24,oui,Europe,oui,non,celibataire,4,Securite informatique,cours reussit
F,18,82,9,oui,oui,30,non,Afrique,oui,oui,celibataire,10,Espagnol,cours reussit
F,35,60,7,non,non,37,oui,Oceanie,non,oui,en couple,6,Reseaux informatiques,cours reussit
F,33,64,7,non,non,51,oui,Oceanie,oui,oui,en couple,10,Philosophie 1,cours reussit
F,28,62,3,oui,oui,31,non,Asie,oui,oui,celibataire,7,Securite informatique,cours echoue
F,25,76,8,non,oui,40,oui,Europe,oui,non,celibataire,4,Robotique,cours echoue
M,25,98,6,non,oui,54,non,Afrique,oui,non,celibataire,6,Genie logiciel,cours reussit
F,27,49,10,non,non,57,non,Afrique,non,oui,celibataire,6,Espagnol,cours reussit
M,40,73,3,oui,oui,42,non,Asie,oui,non,en couple,9,Application mobile 1,cours reussit
M,37,88,8,non,non,46,oui,Asie,non,non,celibataire,7,Machine Learning,cours echoue
F,35,15,8,oui,oui,24,oui,Europe,non,non,en couple,5,Securite informatique,cours echoue
M,21,77,9,oui,oui,10,non,Europe,oui,non,celibataire,9,Intelligence artificielle 2,cours echoue
M,36,83,1,non,non,51,non,Europe,oui,oui,celibataire,7,Developpement web avance,cours echoue
F,23,51,4,non,non,6,non,Asie,oui,non,celibataire,6,Application mobile 2,cours reussit
F,21,78,4,non,oui,4,oui,Afrique,non,oui,celibataire,8,Reseaux informatiques,cours reussit
F,35,59,9,non,non,51,non,Asie,non,oui,en couple,7,Intelligence artificielle 2,cours reussit
M,35,39,2,non,non,35,oui,Afrique,non,non,celibataire,7,Traitement du langage naturel,cours echoue
F,20,43,2,oui,non,13,non,Afrique,oui,non,celibataire,9,Genie logiciel,cours reussit
F,30,52,8,non,oui,7,non,Afrique,non,non,en couple,9,Fracais 2,cours echoue
F,29,13,8,oui,non,57,non,Asie,oui,non,en couple,4,Intelligence artificielle 2,cours echoue
F,36,56,7,oui,non,59,non,Oceanie,oui,oui,celibataire,5,Programmation orientee objet,cours reussit
F,19,83,5,non,oui,14,non,Asie,non,oui,en couple,9,Philosophie 1,cours reussit
F,26,100,8,oui,non,25,oui,Europe,oui,oui,en couple,6,Francais 1,cours reussit
M,23,70,6,oui,oui,14,non,Afrique,oui,oui,en couple,8,Genie logiciel,cours echoue
M,38,64,2,non,non,33,oui,Asie,non,non,en couple,8,Structure de base de donnees,cours echoue
F,27,9,3,oui,non,45,oui,Amerique,oui,oui,celibataire,4,Philosophie 3,cours echoue
F,21,48,0,non,non,47,oui,Afrique,oui,non,celibataire,10,Intelligence artificielle 2,cours echoue
F,40,41,8,non,non,40,non,Amerique,non,non,celibataire,9,Anglais,cours echoue
F,35,3,2,non,non,12,non,Afrique,oui,oui,en couple,8,Robotique,cours reussit
M,26,94,0,oui,non,24,oui,Amerique,oui,non,celibataire,5,Philosophie 2,cours echoue
F,32,49,3,non,non,52,oui,Oceanie,non,non,en couple,6,Structure de base de donnees,cours reussit
F,36,63,9,oui,non,2,non,Asie,oui,oui,en couple,4,Developpement web avance,cours echoue
F,37,21,1,non,non,28,oui,Afrique,oui,non,en couple,4,Intelligence artificielle 2,cours reussit
F,24,37,4,oui,non,3,oui,Europe,non,oui,en couple,8,Philosophie 2,cours reussit
M,28,37,0,non,non,50,oui,Europe,non,non,celibataire,10,Reseaux informatiques,cours echoue
M,26,100,2,non,non,35,oui,Amerique,oui,oui,en couple,5,Structure de base de donnees,cours reussit
M,27,7,0,non,non,57,non,Europe,oui,non,en couple,8,Structure de base de donnees,cours reussit
F,21,84,9,non,non,6,oui,Europe,oui,non,en couple,5,Big Data Analytics,cours reussit
F,36,0,4,non,non,36,oui,Oceanie,oui,oui,en couple,9,Intelligence artificielle ethique,cours echoue
F,30,35,4,oui,oui,29,non,Asie,non,oui,celibataire,5,Intelligence artificielle 2,cours echoue
M,20,25,8,non,non,9,oui,Afrique,oui,non,celibataire,7,Philosophie 1,cours reussit
F,34,36,8,non,oui,52,non,Oceanie,oui,non,en couple,4,Fracais 2,cours echoue
M,18,52,7,non,non,53,non,Europe,oui,non,en couple,6,Reseaux informatiques,cours echoue
F,18,75,7,non,non,4,oui,Afrique,non,oui,en couple,4,Application mobile 2,cours echoue
F,28,83,2,oui,oui,9,oui,Amerique,oui,oui,celibataire,6,Espagnol,cours reussit
M,26,11,0,non,non,34,oui,Amerique,oui,oui,celibataire,5,Developpement web avance,cours echoue
M,23,26,10,oui,oui,14,oui,Afrique,non,non,celibataire,9,Mathematiques discretes,cours echoue
M,22,98,5,non,oui,56,oui,Europe,non,oui,celibataire,6,Intelligence artificielle ethique,cours echoue
M,32,6,5,oui,non,26,non,Amerique,oui,oui,celibataire,4,Robotique,cours reussit
M,24,64,2,non,oui,8,oui,Europe,oui,oui,en couple,5,Intelligence artificielle 2,cours reussit
F,28,88,1,non,oui,49,non,Amerique,oui,non,celibataire,4,Mathematiques discretes,cours echoue
M,22,3,3,oui,oui,31,oui,Asie,oui,oui,celibataire,9,Espagnol,cours reussit
M,19,38,5,non,oui,26,oui,Europe,non,non,celibataire,4,Intelligence artificielle 1,cours echoue
F,23,19,1,oui,non,8,oui,Amerique,oui,non,en couple,8,Intelligence artificielle 2,cours reussit
F,24,53,1,non,non,43,oui,Asie,non,oui,celibataire,4,Genie logiciel,cours echoue
F,24,13,7,non,non,58,oui,Afrique,oui,non,celibataire,10,Application mobile 1,cours echoue
F,18,65,0,non,non,16,non,Amerique,non,oui,celibataire,5,Big Data Analytics,cours echoue
M,26,41,3,oui,oui,0,non,Oceanie,oui,oui,celibataire,8,Anglais,cours reussit
M,35,16,2,oui,oui,6,oui,Oceanie,non,non,en couple,10,Philosophie 3,cours echoue
F,30,17,5,non,oui,20,oui,Afrique,non,non,en couple,7,Conception de bases de donnees,cours reussit
M,31,47,8,non,non,39,non,Afrique,oui,oui,celibataire,8,Anglais,cours reussit
F,32,73,6,non,oui,21,non,Oceanie,oui,oui,celibataire,6,Genie logiciel,cours reussit
M,32,56,9,oui,non,15,non,Asie,non,non,en couple,7,Philosophie 2,cours reussit
F,20,88,3,oui,oui,31,oui,Europe,non,non,en couple,4,Peripheriques et objets connectes,cours reussit
F,18,60,0,non,non,35,oui,Oceanie,oui,non,en couple,7,Securite informatique,cours echoue
M,25,54,10,oui,non,6,oui,Oceanie,oui,oui,celibataire,7,Programmation orientee objet,cours echoue
M,37,39,0,oui,oui,11,non,Europe,non,non,celibataire,6,Intelligence artificielle ethique,cours echoue
F,20,58,8,oui,oui,39,oui,Asie,non,oui,celibataire,5,Fracais 2,cours reussit
F,26,92,9,oui,oui,59,non,Europe,non,oui,en couple,4,Fracais 2,cours echoue
F,38,34,2,oui,non,24,oui,Amerique,non,oui,celibataire,9,Developpement web avance,cours reussit
F,34,7,2,non,non,41,oui,Oceanie,oui,non,celibataire,10,Machine Learning,cours echoue
F,23,35,0,oui,oui,25,oui,Europe,non,non,celibataire,10,Philosophie 1,cours reussit
F,33,32,0,non,oui,29,oui,Europe,oui,non,celibataire,10,Langages de programmation avances,cours echoue
M,33,64,6,oui,oui,36,non,Europe,non,non,celibataire,4,Philosophie 1,cours reussit
M,23,59,4,oui,non,46,non,Oceanie,oui,non,en couple,6,Programmation orientee objet,cours echoue
F,28,31,4,non,oui,54,oui,Asie,non,oui,en couple,5,Machine Learning,cours reussit
M,40,79,8,oui,non,21,oui,Europe,oui,non,en couple,6,Big Data Analytics,cours echoue
M,21,56,5,oui,oui,1,non,Amerique,oui,oui,celibataire,6,Fracais 2,cours reussit
F,40,60,6,non,non,25,non,Afrique,oui,non,celibataire,5,Espagnol,cours reussit
F,22,46,10,non,non,18,oui,Asie,non,non,celibataire,7,Securite informatique,cours reussit
F,29,9,9,non,non,39,non,Oceanie,oui,oui,en couple,9,Application mobile 1,cours echoue
F,29,70,10,oui,non,2,non,Europe,oui,oui,celibataire,8,Francais 1,cours echoue
F,36,87,9,non,non,39,non,Oceanie,non,non,en couple,6,Machine Learning,cours reussit
F,32,15,10,non,oui,6,oui,Europe,oui,non,celibataire,8,Robotique,cours echoue
M,35,79,8,oui,oui,40,non,Oceanie,oui,oui,en couple,7,Philosophie 2,cours reussit
M,28,16,6,non,oui,1,oui,Europe,non,oui,en couple,6,Intelligence artificielle 1,cours reussit
F,34,78,7,non,non,9,non,Amerique,non,oui,celibataire,7,Genie logiciel,cours reussit
F,38,12,0,oui,oui,49,oui,Oceanie,oui,non,en couple,6,Securite informatique,cours reussit
M,38,36,1,oui,non,20,oui,Asie,oui,oui,celibataire,7,Intelligence artificielle 1,cours echoue
M,22,93,7,non,non,0,oui,Afrique,oui,oui,en couple,10,Philosophie 1,cours reussit
F,28,98,6,oui,non,39,oui,Afrique,non,oui,celibataire,9,Programmation orientee objet,cours reussit
M,28,16,3,oui,non,44,oui,Amerique,oui,oui,en couple,10,Intelligence artificielle ethique,cours echoue
M,31,34,2,non,oui,32,non,Asie,non,oui,en couple,6,Algorithmes avances,cours reussit
M,40,24,0,oui,non,9,oui,Asie,non,non,celibataire,4,Fracais 2,cours echoue
M,28,32,1,non,non,50,non,Oceanie,oui,oui,celibataire,8,Algorithmes avances,cours reussit
F,30,59,4,non,oui,10,oui,Oceanie,non,oui,en couple,10,Anglais,cours reussit
M,34,96,6,oui,non,23,oui,Asie,oui,non,en couple,9,Structure de base de donnees,cours reussit
F,22,47,5,oui,non,15,non,Afrique,oui,oui,en couple,8,Traitement du langage naturel,cours reussit
F,32,16,2,oui,oui,28,non,Oceanie,non,non,en couple,6,Algorithmes avances,cours echoue
F,33,5,1,non,oui,7,non,Asie,oui,oui,celibataire,7,Anglais,cours reussit
M,22,3,5,oui,oui,59,non,Europe,non,non,celibataire,10,Francais 1,cours reussit
F,24,14,3,non,oui,27,oui,Asie,oui,non,en couple,9,Francais 1,cours reussit
M,38,94,3,non,non,21,non,Amerique,oui,non,en couple,6,Reseaux informatiques,cours reussit
M,33,97,4,oui,non,32,oui,Oceanie,non,non,celibataire,7,Francais 3,cours echoue
F,26,40,9,oui,oui,1,oui,Afrique,non,non,en couple,10,Big Data Analytics,cours reussit
M,36,94,6,oui,non,35,oui,Afrique,non,oui,en couple,10,Programmation orientee objet,cours reussit
F,24,19,10,non,oui,12,non,Europe,non,non,celibataire,9,Robotique,cours reussit
M,37,44,6,non,oui,31,oui,Asie,non,non,celibataire,6,Big Data Analytics,cours reussit
M,18,27,9,non,oui,41,oui,Amerique,oui,non,en couple,8,Peripheriques et objets connectes,cours echoue
F,19,61,3,non,oui,25,non,Amerique,oui,oui,en couple,6,Traitement du langage naturel,cours echoue
M,25,80,5,oui,non,49,non,Oceanie,non,oui,celibataire,10,Genie logiciel,cours reussit
M,22,4,8,non,non,42,oui,Oceanie,non,oui,celibataire,4,Francais 1,cours echoue
F,40,53,3,oui,non,16,non,Europe,non,non,en couple,10,Developpement web avance,cours echoue
M,29,3,1,oui,oui,38,oui,Oceanie,oui,oui,celibataire,7,Philosophie 1,cours echoue
M,30,52,4,oui,non,29,oui,Afrique,oui,oui,celibataire,6,Conception de bases de donnees,cours echoue
F,33,95,0,oui,non,25,oui,Afrique,non,oui,celibataire,10,Intelligence artificielle ethique,cours echoue
F,29,16,9,oui,oui,11,non,Oceanie,oui,oui,en couple,6,Intelligence artificielle ethique,cours reussit
M,23,52,2,oui,non,42,non,Europe,non,non,celibataire,7,Programmation orientee objet,cours echoue
F,26,91,8,non,oui,45,oui,Amerique,non,oui,celibataire,9,Developpement web avance,cours reussit
F,34,35,9,oui,non,49,oui,Afrique,non,oui,celibataire,6,Reseaux informatiques,cours echoue
F,22,56,9,oui,non,18,oui,Oceanie,non,non,celibataire,9,Robotique,cours reussit
M,21,88,7,oui,non,53,oui,Afrique,non,oui,en couple,6,Conception de bases de donnees,cours echoue
F,35,67,0,oui,oui,22,oui,Europe,non,oui,en couple,8,Francais 1,cours reussit
F,26,30,7,non,non,48,oui,Europe,non,non,celibataire,6,Traitement du langage naturel,cours echoue
F,26,38,6,oui,oui,46,oui,Europe,oui,non,en couple,4,Peripheriques et objets connectes,cours echoue
M,40,63,7,oui,non,1,non,Afrique,non,oui,en couple,4,Langages de programmation avances,cours reussit
M,31,80,6,non,oui,4,non,Asie,oui,non,en couple,9,Philosophie 1,cours echoue
F,20,9,10,oui,oui,9,non,Oceanie,non,oui,celibataire,6,Application mobile 2,cours echoue
M,33,37,2,non,oui,59,non,Asie,non,oui,en couple,8,Espagnol,cours echoue
F,32,25,7,non,oui,20,non,Afrique,oui,non,en couple,4,Developpement web avance,cours reussit
M,39,69,5,non,non,6,oui,Amerique,non,oui,celibataire,4,Anglais,cours reussit
M,35,46,3,oui,oui,51,oui,Amerique,oui,non,celibataire,9,Structure de base de donnees,cours echoue
F,35,83,8,oui,oui,57,non,Europe,oui,oui,en couple,8,Intelligence artificielle ethique,cours reussit
M,30,71,5,oui,oui,5,non,Amerique,oui,non,en couple,8,Machine Learning,cours reussit
M,34,94,3,non,non,26,oui,Asie,oui,oui,en couple,4,Big Data Analytics,cours reussit
F,30,93,9,oui,oui,3,oui,Asie,oui,non,en couple,4,Fracais 2,cours reussit
M,39,71,9,oui,non,51,oui,Afrique,non,oui,celibataire,5,Philosophie 2,cours reussit
M,24,40,4,non,non,4,oui,Amerique,oui,oui,celibataire,6,Francais 1,cours echoue
F,35,85,8,non,non,58,non,Oceanie,non,oui,en couple,5,Structure de base de donnees,cours reussit
M,26,89,1,oui,non,47,oui,Oceanie,non,oui,celibataire,10,Structure de base de donnees,cours reussit
F,31,86,1,oui,oui,54,oui,Afrique,oui,non,en couple,8,Genie logiciel,cours echoue
F,34,84,3,oui,oui,59,non,Europe,oui,oui,en couple,10,Francais 1,cours echoue
